experiment_id,user_id,variant,assigned_at,segment,country,channel,did_convert,orders_count,total_revenue,avg_order_value,refund_count,ticket_count
pricing_discount_v1,1,treatment,2024-01-07,SMB,IN,Referral,0,0,0.0,,0,0
pricing_discount_v1,2,control,2024-01-06,SMB,UK,Organic,1,1,49.0,49.0,0,0
pricing_discount_v1,3,control,2024-01-06,SMB,US,Direct,0,0,0.0,,0,0
pricing_discount_v1,4,control,2024-01-02,SMB,IN,Organic,0,0,0.0,,0,0
pricing_discount_v1,5,treatment,2024-01-03,SMB,UK,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,6,treatment,2024-01-06,Mid-Market,DE,Social,0,0,0.0,,0,0
pricing_discount_v1,7,control,2024-01-02,Mid-Market,US,Organic,0,0,0.0,,0,0
pricing_discount_v1,8,control,2024-01-02,Mid-Market,DE,Direct,0,0,0.0,,0,0
pricing_discount_v1,9,control,2024-01-07,SMB,US,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,10,control,2024-01-02,SMB,US,Paid Search,1,1,49.0,49.0,0,0
pricing_discount_v1,11,control,2024-01-01,SMB,AU,Social,0,0,0.0,,0,0
pricing_discount_v1,12,control,2024-01-05,Mid-Market,UK,Referral,0,0,0.0,,0,1
pricing_discount_v1,13,treatment,2024-01-07,SMB,DE,Paid Search,1,1,89.1,89.1,0,0
pricing_discount_v1,14,control,2024-01-03,SMB,DE,Direct,0,0,0.0,,0,0
pricing_discount_v1,15,control,2024-01-03,SMB,US,Social,0,0,0.0,,0,1
pricing_discount_v1,16,treatment,2024-01-02,Mid-Market,IN,Direct,0,0,0.0,,0,0
pricing_discount_v1,17,treatment,2024-01-01,SMB,US,Referral,0,0,0.0,,0,0
pricing_discount_v1,18,treatment,2024-01-04,SMB,IN,Direct,1,1,269.1,269.1,0,0
pricing_discount_v1,19,control,2024-01-02,SMB,DE,Referral,0,0,0.0,,0,0
pricing_discount_v1,20,treatment,2024-01-04,SMB,US,Social,0,0,0.0,,0,0
pricing_discount_v1,21,control,2024-01-03,Mid-Market,US,Direct,1,1,299.0,299.0,0,0
pricing_discount_v1,22,control,2024-01-04,SMB,IN,Organic,0,0,0.0,,0,0
pricing_discount_v1,23,control,2024-01-06,Mid-Market,DE,Direct,0,0,0.0,,0,0
pricing_discount_v1,24,control,2024-01-02,Mid-Market,DE,Organic,0,0,0.0,,0,1
pricing_discount_v1,25,treatment,2024-01-06,SMB,US,Organic,1,1,269.1,269.1,0,0
pricing_discount_v1,26,control,2024-01-02,SMB,IN,Direct,0,0,0.0,,0,0
pricing_discount_v1,27,control,2024-01-07,SMB,US,Organic,1,1,49.0,49.0,0,0
pricing_discount_v1,28,treatment,2024-01-07,Enterprise,DE,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,29,control,2024-01-05,SMB,US,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,30,treatment,2024-01-04,SMB,US,Direct,0,0,0.0,,0,0
pricing_discount_v1,31,control,2024-01-01,Mid-Market,DE,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,32,control,2024-01-06,SMB,US,Organic,0,0,0.0,,0,1
pricing_discount_v1,33,control,2024-01-05,Mid-Market,IN,Social,1,1,49.0,49.0,0,0
pricing_discount_v1,34,control,2024-01-04,Mid-Market,DE,Direct,0,0,0.0,,0,0
pricing_discount_v1,35,treatment,2024-01-01,Enterprise,IN,Referral,0,0,0.0,,0,0
pricing_discount_v1,36,control,2024-01-01,SMB,US,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,37,control,2024-01-07,SMB,US,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,38,treatment,2024-01-05,Enterprise,DE,Organic,0,0,0.0,,0,0
pricing_discount_v1,39,treatment,2024-01-02,Enterprise,US,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,40,control,2024-01-05,SMB,UK,Direct,0,0,0.0,,0,0
pricing_discount_v1,41,control,2024-01-05,SMB,DE,Social,0,0,0.0,,0,0
pricing_discount_v1,42,treatment,2024-01-05,SMB,IN,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,43,treatment,2024-01-01,Mid-Market,US,Direct,0,0,0.0,,0,0
pricing_discount_v1,44,control,2024-01-07,Mid-Market,IN,Social,1,1,49.0,49.0,0,0
pricing_discount_v1,45,control,2024-01-04,SMB,UK,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,46,control,2024-01-06,SMB,DE,Referral,1,1,299.0,299.0,0,0
pricing_discount_v1,47,treatment,2024-01-05,SMB,US,Direct,0,0,0.0,,0,0
pricing_discount_v1,48,control,2024-01-07,SMB,UK,Organic,0,0,0.0,,0,1
pricing_discount_v1,49,control,2024-01-03,SMB,IN,Organic,0,0,0.0,,0,1
pricing_discount_v1,50,control,2024-01-05,SMB,IN,Social,0,0,0.0,,0,0
pricing_discount_v1,51,treatment,2024-01-01,SMB,US,Direct,0,0,0.0,,0,0
pricing_discount_v1,52,control,2024-01-01,SMB,DE,Social,0,0,0.0,,0,0
pricing_discount_v1,53,treatment,2024-01-05,SMB,US,Direct,0,0,0.0,,0,0
pricing_discount_v1,54,treatment,2024-01-03,Mid-Market,IN,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,55,treatment,2024-01-02,Mid-Market,DE,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,56,control,2024-01-04,Mid-Market,IN,Direct,0,0,0.0,,0,0
pricing_discount_v1,57,control,2024-01-05,Mid-Market,UK,Social,0,0,0.0,,0,0
pricing_discount_v1,58,treatment,2024-01-01,Mid-Market,US,Direct,0,0,0.0,,0,0
pricing_discount_v1,59,treatment,2024-01-07,SMB,UK,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,60,control,2024-01-03,SMB,US,Organic,1,1,299.0,299.0,0,0
pricing_discount_v1,61,treatment,2024-01-02,Enterprise,US,Paid Search,0,0,0.0,,0,1
pricing_discount_v1,62,treatment,2024-01-01,SMB,US,Referral,0,0,0.0,,0,0
pricing_discount_v1,63,treatment,2024-01-02,SMB,IN,Social,0,0,0.0,,0,0
pricing_discount_v1,64,treatment,2024-01-06,SMB,US,Social,0,0,0.0,,0,0
pricing_discount_v1,65,control,2024-01-07,Mid-Market,IN,Social,0,0,0.0,,0,0
pricing_discount_v1,66,treatment,2024-01-02,SMB,US,Referral,1,1,269.1,269.1,0,0
pricing_discount_v1,67,control,2024-01-07,SMB,AU,Social,0,0,0.0,,0,0
pricing_discount_v1,68,treatment,2024-01-03,Mid-Market,AU,Referral,0,0,0.0,,0,0
pricing_discount_v1,69,treatment,2024-01-05,Enterprise,US,Organic,0,0,0.0,,0,0
pricing_discount_v1,70,treatment,2024-01-07,SMB,AU,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,71,control,2024-01-03,SMB,IN,Paid Search,0,0,0.0,,0,1
pricing_discount_v1,72,control,2024-01-02,Enterprise,US,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,73,treatment,2024-01-03,SMB,AU,Referral,0,0,0.0,,0,0
pricing_discount_v1,74,control,2024-01-07,SMB,US,Paid Search,1,1,49.0,49.0,0,0
pricing_discount_v1,75,treatment,2024-01-07,SMB,US,Organic,0,0,0.0,,0,0
pricing_discount_v1,76,control,2024-01-03,SMB,DE,Direct,0,0,0.0,,0,0
pricing_discount_v1,77,control,2024-01-06,SMB,US,Organic,0,0,0.0,,0,1
pricing_discount_v1,78,control,2024-01-04,Mid-Market,US,Paid Search,0,0,0.0,,0,0
pricing_discount_v1,79,treatment,2024-01-01,SMB,AU,Social,0,0,0.0,,0,0
pricing_discount_v1,80,control,2024-01-07,SMB,AU,Direct,0,0,0.0,,0,1
pricing_discount_v1,81,control,2024-01-03,SMB,IN,Direct,0,0,0.0,,0,0
pricing_discount_v1,82,control,2024-01-05,Enterprise,UK,Direct,0,0,0.0,,0,0
